imdb_title_id	weighted_average_vote	total_votes
tt0021273	6.9	515
tt0021276	5.7	115
tt0021280	5	103
tt0021281	6.5	762
tt0021282	5.7	342
tt0021283	6.4	381
tt0021287	5.6	340
tt0021292	5.6	486
tt0021294	5.8	592
tt0021295	5	217
tt0021297	6.7	154
tt0021303	5.5	108
tt0021304	5.7	157
tt0021307	5.9	116
tt0021309	7.8	1135
tt0021310	5.9	680
tt0021322	6.3	293
tt0021324	5.2	208
tt0021331	7.4	5834
tt0021335	5.6	202
tt0021345	5.5	181
tt0021365	5.1	101
tt0021371	6.4	238
tt0021374	5.9	409
tt0021376	5.5	245
tt0021377	6.2	475
tt0021381	6.3	534
tt0021382	6.2	182
tt0021394	6.2	142
tt0021400	6	146
tt0021401	5.3	142
tt0021406	7	656
tt0021408	6	334
tt0021409	7.1	1971
tt0021413	5.5	239
tt0021420	6.8	197
tt0021435	5.3	113
tt0021439	5.1	114
tt0021463	6.6	117
tt0021464	5.5	212
tt0021472	5.9	128
tt0021483	6.4	160
tt0021484	7.1	106
tt0021486	6.1	172
tt0021492	6.7	103
tt0021493	5.7	254
tt0021505	6.8	1056
tt0021508	6	1036
tt0021511	5.7	113
tt0021525	5.5	117
tt0021531	6.1	233
tt0021533	5.6	688
tt0021534	5.7	548
tt0021542	7.4	1610
tt0021549	6.3	941
tt0021550	6	151
tt0021551	6.5	349
tt0021568	6.1	146
tt0021571	7.3	4949
tt0021577	7.3	12551
tt0021580	6	269
tt0021594	6.3	106
tt0021595	6	223
tt0021599	4.6	116
tt0021606	6.2	120
tt0021607	6.5	644
tt0021615	5.8	186
tt0021622	6.2	1493
tt0021632	6.2	342
tt0021633	6.5	1041
tt0021635	6.5	1081
tt0021636	6.3	988
tt0021647	6.9	474
tt0021649	6.1	372
tt0021653	6.8	103
tt0021654	6.7	591
tt0021657	5.9	240
tt0021659	5.7	107
tt0021668	6.8	1301
tt0021673	7.1	1561
tt0021681	5.9	111
tt0021684	5.8	222
tt0021695	6.6	100
tt0021697	5.9	251
tt0021707	6.4	136
tt0021725	6.6	187
tt0021730	7.3	2741
tt0021732	6.4	154
tt0021733	6.7	474
tt0021735	6.4	442
tt0021739	7.6	3628
tt0021743	4.4	109
tt0021746	5.9	5304
tt0021749	8.5	162668
tt0021750	7.1	1330
tt0021754	6.9	171
tt0021756	6	219
tt0021759	6.5	280
tt0021761	6.1	416
